      Step     Time          Energy          fmax
BFGS:    0 16:31:14   -11344.906824        0.093277
BFGS:    1 16:31:14   -11344.907702        0.084562
BFGS:    2 16:31:14   -11344.908289        0.092000
BFGS:    3 16:31:14   -11344.909524        0.085902
BFGS:    4 16:31:14   -11344.910884        0.097700
BFGS:    5 16:31:14   -11344.911927        0.084943
BFGS:    6 16:31:14   -11344.911911        0.095723
BFGS:    7 16:31:14   -11344.912070        0.091285
BFGS:    8 16:31:14   -11344.912862        0.069998
BFGS:    9 16:31:14   -11344.913116        0.075052
BFGS:   10 16:31:14   -11344.913948        0.045271
BFGS:   11 16:31:14   -11344.914402        0.038160
BFGS:   12 16:31:14   -11344.914227        0.026274
BFGS:   13 16:31:15   -11344.913861        0.021561
BFGS:   14 16:31:15   -11344.914369        0.019599
BFGS:   15 16:31:15   -11344.914067        0.010674
BFGS:   16 16:31:15   -11344.914019        0.004721
