---------------------
  #    meV     cm^-1
---------------------
  0  237.6i   1916.3i
  1    0.5i      3.8i
  2    0.3i      2.6i
  3    0.0       0.3
  4    0.1       0.8
  5    0.5       4.3
  6    0.9       7.1
  7    9.1      73.4
  8   14.7     118.6
  9   21.4     172.2
 10   36.5     294.2
 11   50.6     408.2
 12   51.5     415.6
 13   65.3     526.5
 14   66.2     533.7
 15   77.9     627.9
 16   88.0     709.6
 17   90.2     727.2
 18   97.4     785.5
 19  106.4     858.2
 20  117.0     943.5
 21  124.3    1002.2
 22  126.9    1023.3
 23  126.9    1023.8
 24  130.2    1050.5
 25  132.2    1066.1
 26  137.5    1108.8
 27  145.1    1170.1
 28  145.5    1173.6
 29  148.2    1195.3
 30  158.7    1279.8
 31  161.5    1302.7
 32  164.9    1330.1
 33  168.2    1357.0
 34  184.4    1487.5
 35  188.5    1520.6
 36  192.6    1553.2
 37  206.9    1668.6
 38  208.3    1680.1
 39  266.2    2146.9
 40  396.0    3193.9
 41  397.0    3202.4
 42  398.3    3212.6
 43  399.3    3220.6
 44  400.4    3229.3
---------------------
Zero-point energy: 3.001 eV
