---------------------
  #    meV     cm^-1
---------------------
  0  237.6i   1916.2i
  1    0.5i      4.2i
  2    0.2i      1.2i
  3    0.1i      0.4i
  4    0.1       0.8
  5    0.2       1.7
  6    0.7       5.7
  7    9.1      73.1
  8   14.7     118.5
  9   21.3     172.1
 10   36.5     294.1
 11   50.6     408.2
 12   51.5     415.6
 13   65.3     526.5
 14   66.2     533.6
 15   77.9     627.9
 16   88.0     709.6
 17   90.2     727.2
 18   97.4     785.5
 19  106.4     858.2
 20  117.0     943.5
 21  124.3    1002.3
 22  126.9    1023.3
 23  126.9    1023.7
 24  130.2    1050.5
 25  132.2    1066.2
 26  137.5    1108.9
 27  145.1    1170.1
 28  145.5    1173.5
 29  148.2    1195.4
 30  158.7    1280.2
 31  161.6    1303.2
 32  164.9    1330.3
 33  168.2    1357.0
 34  184.4    1487.3
 35  188.5    1520.6
 36  192.6    1553.2
 37  206.9    1668.5
 38  208.3    1680.2
 39  266.2    2146.7
 40  396.0    3194.0
 41  397.0    3202.2
 42  398.3    3212.6
 43  399.3    3220.7
 44  400.4    3229.2
---------------------
Zero-point energy: 3.001 eV
