---------------------
  #    meV     cm^-1
---------------------
  0  165.5i   1334.7i
  1    0.5i      4.1i
  2    0.3i      2.8i
  3    0.1i      0.8i
  4    0.0i      0.3i
  5    0.2       1.3
  6    0.3       2.5
  7    6.1      48.8
  8    8.7      70.2
  9    9.8      79.2
 10   25.9     208.7
 11   27.4     221.3
 12   39.4     318.0
 13   41.4     333.6
 14   46.7     376.7
 15   52.3     421.5
 16   53.9     434.9
 17   64.0     516.4
 18   68.3     551.0
 19   76.1     613.6
 20   76.8     619.7
 21   80.2     646.6
 22   86.7     699.3
 23   87.9     708.7
 24   96.5     778.0
 25   97.8     788.9
 26   99.2     799.9
 27  105.3     849.3
 28  108.3     873.1
 29  116.2     936.9
 30  123.7     997.8
 31  125.9    1015.2
 32  126.2    1018.0
 33  130.6    1053.3
 34  136.9    1103.8
 35  144.8    1167.7
 36  147.1    1186.1
 37  160.9    1297.4
 38  162.9    1314.0
 39  166.6    1343.6
 40  167.2    1348.5
 41  184.6    1489.1
 42  189.9    1531.4
 43  199.1    1605.7
 44  203.9    1644.6
 45  206.0    1661.3
 46  207.3    1671.7
 47  245.2    1977.9
 48  395.0    3186.0
 49  395.7    3191.9
 50  397.0    3201.9
 51  397.7    3208.1
 52  398.8    3216.9
 53  472.3    3809.5
---------------------
Zero-point energy: 3.480 eV
