---------------------
  #    meV     cm^-1
---------------------
  0  199.6i   1609.8i
  1    0.5i      3.9i
  2    0.4i      3.5i
  3    0.2i      1.9i
  4    0.0i      0.4i
  5    0.1       0.6
  6    0.3       2.6
  7    6.0      48.2
  8    8.6      69.4
  9   10.1      81.1
 10   14.0     112.6
 11   18.6     150.4
 12   22.3     180.0
 13   23.9     192.5
 14   27.3     220.1
 15   32.0     257.9
 16   37.0     298.2
 17   40.7     328.0
 18   47.9     386.6
 19   53.2     429.2
 20   56.6     456.1
 21   57.5     463.6
 22   62.4     503.5
 23   70.0     564.7
 24   70.5     568.3
 25   73.4     592.2
 26   77.4     624.5
 27   79.5     640.9
 28   92.5     745.8
 29   96.9     781.8
 30   97.5     786.4
 31  105.3     849.0
 32  108.4     874.0
 33  109.3     881.2
 34  115.0     927.3
 35  116.7     941.6
 36  120.5     972.2
 37  123.0     992.3
 38  124.3    1002.5
 39  124.7    1005.7
 40  128.1    1032.9
 41  131.5    1060.5
 42  132.0    1064.3
 43  139.9    1128.6
 44  142.3    1147.7
 45  144.2    1163.1
 46  145.1    1170.5
 47  148.9    1200.7
 48  150.4    1213.3
 49  153.1    1234.7
 50  159.2    1284.2
 51  160.7    1295.8
 52  161.9    1305.7
 53  163.9    1322.1
 54  166.2    1340.6
 55  168.8    1361.4
 56  173.7    1401.0
 57  175.6    1416.2
 58  177.6    1432.8
 59  179.8    1450.2
 60  181.0    1459.9
 61  183.7    1481.9
 62  185.6    1496.7
 63  186.6    1504.8
 64  188.5    1520.6
 65  189.7    1529.7
 66  202.1    1630.3
 67  205.5    1657.4
 68  210.7    1699.3
 69  376.6    3037.6
 70  378.0    3048.8
 71  379.5    3060.7
 72  384.0    3097.3
 73  387.9    3128.9
 74  388.8    3135.9
 75  390.2    3146.9
 76  393.6    3174.7
 77  393.8    3175.9
 78  394.8    3184.3
 79  397.2    3203.3
 80  398.4    3213.1
---------------------
Zero-point energy: 5.861 eV
